Model;S / F;initial left offset [ms];step size;SV 8;SV 10;SV 12;SV 15;HV 8;HV 10;HV 12;HV 15
GRU;S;5;1;76.52;75.66;77.39;83.48;72.27;73.91;75.65;77.39
GRU;S;15;1;75.65;71.3;73.91;72.17;74.78;71.3;70.43;71.3
GRU;S;25;1;82.61;81.74;82.61;80.87;83.48;81.74;83.48;81.74
GRU;S;50;1;84.35;82.61;81.74;79.13;79.13;78.26;78.26;79.13
GRU;S;75;1;53.91;67.83;70.43;73.04;44.35;66.96;68.7;72.17
GRU;S;100;1;65.22;71.3;79.13;77.39;64.35;67.83;78.26;77.39
GRU;S;5;4;85.22;83.48;83.48;83.48;86.09;85.22;83.48;83.48
GRU;S;15;4;80.87;81.74;83.48;82.61;79.13;80.87;81.74;82.61
GRU;S;25;4;73.04;74.78;80;85.22;80;79.13;84.35;88.7
GRU;S;50;4;85.22;86.96;87.83;87.83;86.96;87.83;87.83;88.7
GRU;S;75;4;74.78;81.74;83.48;80.87;78.26;80;76.52;80.87
GRU;S;100;4;36.52;73.04;84.34;85.22;32.17;53.04;84.35;85.22
GRU;F;25;NaN;17.39;17.39;17.39;17.39;17.39;17.39;17.39;17.39
GRU;F;50;NaN;53.04;47.83;25.22;25.22;62.61;36.52;25.22;25.22
GRU;F;75;NaN;56.52;69.57;78.26;71.3;59.13;80.87;83.48;64.35
GRU;F;100;NaN;55.65;54.78;66.96;66.96;49.57;57.4;62.61;66.96
LSTM;S;5;1;87.83;87.83;85.22;83.48;87.83;86.96;85.22;83.48
LSTM;S;15;1;79.13;80.87;80.87;79.13;81.74;80.87;80.87;80
LSTM;S;25;1;84.35;83.48;80;73.91;86.96;83.48;79.13;73.91
LSTM;S;50;1;88.7;88.7;86.09;83.48;83.48;86.09;82.61;83.48
LSTM;S;75;1;86.09;86.96;82.61;79.13;80.87;86.96;86.09;78.26
LSTM;S;100;1;55.65;59.13;66.09;77.39;53.91;60.87;66.96;77.39
LSTM;S;5;4;86.96;87.83;87.83;89.57;92.17;88.7;87.83;88.7
LSTM;S;15;4;69.57;72.17;73.91;73.91;71.3;73.04;71.3;74.78
LSTM;S;25;4;80;81.74;81.74;83.48;80.87;81.47;81.47;81.47
LSTM;S;50;4;80.87;80;78.26;78.26;82.61;79.13;78.26;78.26
LSTM;S;75;4;71.3;78.26;66.96;71.3;68.7;74.78;66.96;71.3
LSTM;S;100;4;66.09;67.83;77.39;83.48;66.96;69.57;78.26;83.48
LSTM;F;25;NaN;19.13;20;24.35;25.22;20.87;22.61;23.48;21.74
LSTM;F;50;NaN;49.57;22.61;17.39;14.78;48.7;20;16.52;14.78
LSTM;F;75;NaN;52.17;54.78;60.87;26.96;53.91;58.26;61.74;17.39
LSTM;F;100;NaN;56.52;61.74;65.22;60.87;56.52;61.74;61.74;58.26
Transformer;S;5;1;83.48;86.96;86.96;86.09;81.74;83.49;86.09;91.3
Transformer;S;15;1;83.48;84.35;84.35;86.09;79.13;82.61;83.48;93.04
Transformer;S;25;1;84.35;86.96;87.83;92.17;88.7;89.57;90.43;91.3
Transformer;S;50;1;81.74;83.48;83.48;84.35;80.87;79.13;79.13;90.43
Transformer;S;75;1;74.78;77.39;81.74;84.35;77.39;76.52;80;82.61
Transformer;S;100;1;66.96;72.17;75.65;78.26;71.3;70.43;76.52;81.74
Transformer;S;5;4;77.39;80;82.61;88.7;79.13;80;80.87;85.22
Transformer;S;15;4;80;86.09;87.83;92.17;81.74;86.96;87.83;91.3
Transformer;S;25;4;82.61;86.96;89.57;90.43;85.22;86.96;88.7;89.57
Transformer;S;50;4;84.35;85.22;86.09;85.22;86.09;86.09;85.22;85.22
Transformer;S;75;4;76.52;80.87;82.61;84.35;72.17;81.74;82.61;82.61
Transformer;S;100;4;59.13;72.17;80.87;86.96;57.39;64.35;78.26;85.22
Transformer;F;25;NaN;40;30.43;27.83;27.83;40;27.83;27.83;27.83
Transformer;F;50;NaN;42.61;35.65;40;33.04;37.39;39.13;37.39;27.83
Transformer;F;75;NaN;38.26;56.52;47.83;35.65;41.74;49.57;50.43;39.13
Transformer;F;100;NaN;53.04;58.26;65.22;73.91;53.04;58.26;60.87;66.09
